question_text,option1,option2,option3,option4,correct_option
What is the capital of France?,London,Berlin,Paris,Rome,Paris
What is the largest planet in our solar system?,Venus,Mars,Earth,Jupiter,Jupiter
Who wrote the play "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Jane Austen,Leo Tolstoy,William Shakespeare
What is the chemical symbol for water?,H2O,CO2,NO2,CH4,H2O
What is the national flower of Japan?,Cherry Blossom,Rose,Lotus,Sunflower,Cherry Blossom
Which planet is known as the "Red Planet"?,Venus,Mars,Mercury,Jupiter,Mars
What is the largest mammal on Earth?,Elephant,Polar Bear,Blue Whale,Giraffe,Blue Whale
What is the chemical symbol for gold?,Ag,Au,Fe,Pb,Au
What is 2 + 2?,3,4,5,6,4
What is the color of the sky on a sunny day?,Red,Green,Blue,Yellow,Blue
What is the opposite of "hot"?,Cold,Tall,Happy,Sad,Cold
What animal says "meow"?,Dog,Cat,Bird,Fish,Cat
What is the capital of France?,London,Berlin,Paris,Rome,Paris
Which month comes after January?,March,July,February,April,February
What is the shape of a soccer ball?,Square,Circle,Triangle,Pentagon,Circle
Which animal is known as "the king of the jungle"?,Elephant,Tiger,Lion,Giraffe,Lion
What is the main color of a banana?,Red,Green,Blue,Yellow,Yellow
What is 10 divided by 2?,3,4,5,10,5
What is the capital of Japan?,London,Berlin,Paris,Tokyo,Tokyo
Which number comes after 7?,9,11,6,8,9
What is the shape of a stop sign?,Square,Circle,Triangle,Octagon,Octagon
What is the opposite of "happy"?,Sad,Angry,Silly,Tired,Sad
Which animal says "quack"?,Dog,Cat,Duck,Fish,Duck
What is the color of a banana?,Red,Green,Blue,Yellow,Yellow
Which month comes before December?,March,July,November,April,November
What is the shape of a traffic light?,Square,Circle,Triangle,Rectangle,Circle
Which animal is known for its long neck?,Elephant,Tiger,Lion,Giraffe,Giraffe
What is 6 multiplied by 3?,12,18,9,24,18
